3/12/2021 Ultratop - Singles - 05/12/2020,,,,,,,
Vlaanderen - De enige echte officiële hitparade,,,,,,,
Singles,,,05/12/2020,,,,
# VW W Artiest,,,,Titel,Label,Distributeur,HP
1,2,5,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
2,4,8,Jaap Reesema & Pommelien Thijs,Nu wij niet meerpraten,MOSTIKO,CNR,2
3,1,17,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1
4,3,14,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2
5,5,13,Tate McRae,You Broke Me First,RCA,SONY,4
6,10,6,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6
7,7,10,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4
8,6,15,BTS,Dynamite,BIGHIT,SONY,6
9,13,15,Miley Cyrus,Midnight Sky,RCA,SONY,6
10 15,,18,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1
11 12,,3,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,11
12 8,,11,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8
13 11,,3,Regi & Camille,Vechter,DPG/INMEDIATEINT,CNR,11
14 24,,4,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14
15 17,,11,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15
16 21,,8,Bazart,Denk maar niet aanmorgen,DEBONAIR,PIAS,16
17 9,,11,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8
18 16,,12,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11
19 14,,6,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14
20 19,,9,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,17
21 26,,52,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1
22 22,,11,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,13
23 18,,9,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,18
24 35,,24,Ava Max,Kings & Queens,ATLANTIC,WARNER,4
25 23,,5,Ava Max,Who's LaughingNow?,ATLANTIC,WARNER,23
26 20,,21,Zoe Wees,Control,CAROLINE,UNIVERSAL,6
27 27,,22,Banners,Someone To You,ISLAND,UNIVERSAL,8
28 32,,2,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,28
29 28,,9,Stan Van Samang,Don't Close Your Eyes,LIVEENTERTAINMENT,UNIVERSAL,28
30 40,,3,Ofenbach & Quarterhead feat. Norma Jean Martine,Head ShouldersKnees & Toes,SPINNIN',WARNER,30
31 39,,3,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,31
32 34,,36,Topic feat. A7S,Breaking Me,VIRGIN,UNIVERSAL,3
33 36,,11,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,19
34 30,,4,Milow,First Day Of My Life,HOMERUN,SONY,28
35 46,,2,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,35
36 37,,4,Liefde Voor Muziek voor Rode Neuzen Dag,Porselein,DPG/INMEDIATEINT,CNR,32
37 31,,9,Pop Smoke,What You Know BoutLove,REPUBLIC,TOPNOTCH/UNIVERSAL,26
38 25,,27,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2
39 33,,6,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,31
40 NEW,,1,Tiësto,The Business,ATLANTIC,WARNER,40
41 29,,5,5napback & Metejoor,Hoe kon ik zo domzijn,MOSTIKO,CNR,27
42 48,,3,Harry Styles,Golden,COLUMBIA,SONY,42
43 41,,4,James Arthur,Train Wreck,COLUMBIA,SONY,41
44 50,,16,Taylor Swift feat. Bon Iver,Exile,REPUBLIC,UNIVERSAL,37
45 38,,12,Kygo x Tina Turner,What's Love Got ToDo With It,SONY,SONY,12
46 45,,11,James Bay,Chew On My Heart,REPUBLIC,UNIVERSAL,36
47 NEW,,1,Sandra Kim,Who Are You (DeKoningin),MOSTIKO,CNR,47
48 NEW,,1,"Dimitri Vegas & Like Mike x Armin van Buuren x Brennan
Heart feat. Jeremy Oceans",Christmas Time,"SMASH THE
HOUSE","SMASH THE
HOUSE",48
49 RE,,61,Tones And I,Dance Monkey,ELEKTRA,WARNER,1
50 NEW,,1,Hooverphonic,Mad About You 2020,UNIVERSAL,UNIVERSAL,50
https://www.ultratop.be/weekchart_print.asp?lang=nl&cat=s&date=20201205,,,,,,,1/1
