3/12/2021 Ultratop - Singles - 13/02/2021,,,,,,,
Vlaanderen - De enige echte officiële hitparade,,,,,,,
Singles,,,,13/02/2021,,,
# VW W Artiest,,,,Titel,Label,Distributeur HP,
1,1,5,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,1
2,5,18,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,1
3,3,15,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
4,4,11,Tiësto,The Business,ATLANTIC,WARNER,2
5,2,8,The Kid Laroi,Without You,COLUMBIA,SONY,2
6,6,5,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,6
7,8,27,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1
8,10,18,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,8
9,14,7,Ed Sheeran,Afterglow,ATLANTIC,WARNER,5
10 11,,10,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,10
11 7,,13,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',SPINNIN',7
12 9,,15,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,8
13 12,,13,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,12
14 20,,5,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,14
15 16,,24,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2
16 21,,5,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,16
17 17,,4,HVME,Goosebumps,B1,SONY,17
18 15,,25,BTS,Dynamite,BIGHIT,SONY,5
19 24,,13,Regi & Camille,Vechter,DPG/INMEDIATE INT,CNR,7
20 18,,14,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14
21 13,,23,Tate McRae,You Broke Me First,RCA,SONY,4
22 19,,6,Justin Bieber,Anyone,DEF JAM,UNIVERSAL,19
23 23,,7,Jason Derulo x Nuka,Love Not War (The TampaBeat),ROBOTS & HUMANS,SONY,23
24 26,,25,Miley Cyrus,Midnight Sky,RCA,SONY,6
25 29,,10,Lil Nas X,Holiday,COLUMBIA,SONY,9
26 40,,2,Metejoor feat. Babet,1 op een miljoen,FRUITY,CNR,26
27 31,,13,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10
28 22,,22,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11
29 32,,32,Banners,Someone To You,ISLAND,UNIVERSAL,8
30 38,,4,Purple Disco Machine & Sophie And The Giants,Hypnotized,COLUMBIA,SONY,30
31 47,,2,Maude [BE],Dance You Off,MOSTIKO,CNR,31
32 27,,16,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6
33 37,,62,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1
34 28,,19,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14
35 25,,4,Sheppard,Learning To Fly,DECCA,UNIVERSAL,25
36 NEW,,1,Nathan Evans,Wellerman,POLYDOR,UNIVERSAL,36
37 33,,21,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8
38 35,,3,atb x Topic x A7S,Your Love (9PM),RIDE,RIDE,35
39 34,,21,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15
40 36,,20,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4
41 42,,12,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27
42 39,,16,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14
43 41,,6,Taylor Swift,Willow,REPUBLIC,UNIVERSAL,40
44 50,,2,Sabien Tiels feat. Westelinck,Als jij het niet meer weet,VLNL,CRICKET HILL,44
45 43,,2,Stan Van Samang,Snow,LIVEENTERTAINMENT,UNIVERSAL,43
46 30,,21,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8
47 48,,28,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1
48 NEW,,1,Zoe Wees,Girls Like Us,CAPITOL,UNIVERSAL,48
49 45,,37,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2
50 NEW,,1,Sara Kays,Remember That Night?,ATLANTIC,WARNER,50
https://www.ultratop.be/weekchart_print.asp?lang=nl&cat=s&date=20210213,,,,,,,1/1
