3/12/2021 Ultratop - Singles - 21/11/2020,,,,,,,
Vlaanderen - De enige echte officiële hitparade,,,,,,,
Singles,,,,21/11/2020,,,
# VW W Artiest,,,,Titel,Label,Distributeur,HP
1,1,3,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
2,2,15,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1
3,7,6,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,3
4,3,12,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2
5,4,11,Tate McRae,You Broke Me First,RCA,SONY,4
6,5,8,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4
7,6,13,Miley Cyrus,Midnight Sky,RCA,SONY,6
8,9,13,BTS,Dynamite,BIGHIT,SONY,7
9,14,9,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8
10 10,,19,Zoe Wees,Control,CAROLINE,UNIVERSAL,6
11 13,,9,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,10
12 8,,16,Master KG feat. Burna Boy & NomceboZikode,Jerusalema (Remix),ELEKTRA,WARNER,1
13 NEW,,1,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,13
14 11,,10,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11
15 15,,4,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,15
16 21,,9,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,16
17 20,,4,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,17
18 16,,9,"Internet Money & Gunna feat. Don Toliver &
Nav",Lemonade,CAROLINE,UNIVERSAL,13
19 12,,20,Banners,Someone To You,ISLAND,UNIVERSAL,8
20 22,,7,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,17
21 25,,2,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,21
22 17,,6,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,17
23 23,,10,Kygo x Tina Turner,What's Love Got To Do With It SONY,,SONY,12
24 24,,50,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1
25 27,,7,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,25
26 NEW,,1,Regi & Camille,Vechter,DPG/INMEDIATEINT,CNR,26
27 26,,22,Ava Max,Kings & Queens,ATLANTIC,WARNER,4
28 44,,2,Milow,First Day Of My Life,HOMERUN,SONY,28
29 18,,25,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2
30 19,,9,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,19
31 34,,4,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,31
32 50,,2,Liefde Voor Muziek voor Rode Neuzen Dag,Porselein,DPG/INMEDIATEINT,CNR,32
33 32,,7,Pop Smoke,What You Know Bout Love,REPUBLIC,TOPNOTCH/UNIVERSAL,26
34 28,,34,Topic feat. A7S,Breaking Me,VIRGIN,UNIVERSAL,3
35 33,,3,5napback & Metejoor,Hoe kon ik zo dom zijn,MOSTIKO,CNR,27
36 29,,23,Jawsh 685 & Jason Derulo,Savage Love (Laxed - SirenBeat),COLUMBIA,SONY,1
37 31,,17,Aya Nakamura,Jolie nana,REC. 118,WARNER,8
38 36,,7,Stan Van Samang,Don't Close Your Eyes,LIVEENTERTAINMENT,UNIVERSAL,36
39 39,,3,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,39
40 30,,13,Suzan & Freek / Snelle,De overkant,SONY/CLOUD 9,SONY,11
41 NEW,,1,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',WARNER,41
42 35,,23,Ray Dalton,In My Bones,EPIC,SONY,13
43 37,,9,James Bay,Chew On My Heart,REPUBLIC,UNIVERSAL,36
44 41,,6,Dua Lipa feat. DaBaby,Levitating,WARNER,WARNER,32
45 47,,2,James Arthur,Train Wreck,COLUMBIA,SONY,45
46 NEW,,1,Harry Styles,Golden,COLUMBIA,SONY,46
47 46,,14,Taylor Swift feat. Bon Iver,Exile,REPUBLIC,UNIVERSAL,37
48 NEW,,1,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,48
49 38,,13,Cardi B feat. Megan Thee Stallion,WAP,ATLANTIC,WARNER,14
50 42,,7,Celeste [UK],Little Runaway,POLYDOR,UNIVERSAL,42
https://www.ultratop.be/weekchart_print.asp?lang=nl&cat=s&date=20201121,,,,,,,1/1
