#,VW,W,Artiest,Titel,Label,Distributeur,HP,fileDate
1,2,12,Jaap Reesema & Pommelien Thijs,Nu wij niet meerpraten,MOSTIKO,CNR,1,02_01_2021
2,1,9,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,02_01_2021
3,3,21,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1,02_01_2021
4,4,18,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,02_01_2021
5,7,19,BTS,Dynamite,BIGHIT,SONY,5,02_01_2021
6,15,56,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,02_01_2021
7,8,7,Regi & Camille,Vechter,DPG/INMEDIATEINT,CNR,7,02_01_2021
8,5,17,Tate McRae,You Broke Me First,RCA,SONY,4,02_01_2021
9,10,15,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8,02_01_2021
10,6,5,Tiësto,The Business,ATLANTIC,WARNER,6,02_01_2021
11,13,16,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11,02_01_2021
12,35,2,The Kid Laroi,Without You,COLUMBIA,SONY,12,02_01_2021
13,30,25,Zoe Wees,Control,CAROLINE,UNIVERSAL,6,02_01_2021
14,16,9,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,14,02_01_2021
15,33,4,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,15,02_01_2021
16,24,26,Banners,Someone To You,ISLAND,UNIVERSAL,8,02_01_2021
17,12,7,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees& Toes,SPINNIN',WARNER,12,02_01_2021
18,11,10,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6,02_01_2021
19,19,22,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,02_01_2021
20,23,14,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4,02_01_2021
21,18,15,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8,02_01_2021
22,14,7,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10,02_01_2021
23,25,8,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14,02_01_2021
24,20,15,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15,02_01_2021
25,17,13,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14,02_01_2021
26,44,65,Tones And I,Dance Monkey,ELEKTRA,WARNER,1,02_01_2021
27,22,12,Bazart,Denk maar niet aanmorgen,DEBONAIR,PIAS,11,02_01_2021
28,NEW,1,Ed Sheeran,Afterglow,ATLANTIC,WARNER,28,02_01_2021
29,9,4,Lil Nas X,Holiday,COLUMBIA,SONY,9,02_01_2021
30,28,6,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27,02_01_2021
31,32,13,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,18,02_01_2021
