3/12/2021 Ultratop - Singles - 06/03/2021,,,,,,,
Belgique francophone - Le seul classement officiel,,,,,,,
Singles,,,,06/03/2021,,,
# -1,,S,Artiste,Titre,Label,Distributeur,MP
1,2,6,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,1
2,1,18 Dua Lipa feat. Angèle,,Fever,WARNER,WARNER,1
3,4,17 Tiësto,,The Business,ATLANTIC,WARNER,2
4,3,8,Black Eyed Peas x Shakira,Girl Like Me,EPIC,SONY,3
5,5,7,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,5
6,6,20 Tate McRae,,You Broke Me First,RCA,SONY,3
7,NEW 1,,Tayc,Le temps,PLAY TWO,WARNER,7
8,8,11 Laura Tesoro & Loïc Nottet feat. Alex Germys,,Strangers,SONY,SONY,4
9,11,13 Kygo x Donna Summer,,Hot Stuff,RCA,SONY,7
10 27,,4,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),MINISTRY OF SOUND,SONY,10
11 12,,9,Ed Sheeran,Afterglow,ATLANTIC,WARNER,8
12 13,,6,Jason Derulo x Nuka,Love Not War (The Tampa Beat),ROBOTS & HUMANS,SONY,12
13 10,,9,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,10
14 16,,12 Meduza feat. Dermot Kennedy,,Paradise,ISLAND,UNIVERSAL,13
15 7,,14 Maître Gims,,Jusqu'ici tout va bien,PLAY TWO,SONY,7
16 15,,5,Sia,Courage To Change,ATLANTIC,WARNER,15
17 21,,5,Les Enfoirés,Maintenant,COLUMBIA,SONY,17
18 14,,17 Julien Doré,,Nous,COLUMBIA,SONY,7
19 20,,7,Ava Max,My Head & My Heart,ATLANTIC,WARNER,17
20 9,,19 Ariana Grande,,Positions,REPUBLIC,UNIVERSAL,6
21 23,,7,Vitaa & Slimane,De l'or,DEF JAM,UNIVERSAL,21
22 17,,12 Indochine feat. Christine And The Queens,,3Sex,RCA,SONY,8
23 19,,6,The Kid Laroi,Without You,COLUMBIA,SONY,19
24 25,,4,Ykons,Sequoia Trees,BLUE MILK,TEAM 4 ACTION,24
25 37,,3,Kendji Girac,Évidemment,DEF JAM,UNIVERSAL,25
26 22,,8,Bad Bunny x Jhay Cortez,Dákiti,RIMAS,RIMAS,22
27 28,,26 24kGoldn feat. Iann Dior,,Mood,COLUMBIA,SONY,2
28 36,,3,atb x Topic x A7S,Your Love (9PM),RIDE,RIDE,28
29 29,,9,Calogero,Celui d'en bas,POLYDOR,UNIVERSAL,23
30 31,,24 David Guetta & Sia,,Let's Love,PARLOPHONE,WARNER,2
31 32,,6,Amel Bent & Hatik,"1,2,3",DEF JAM,UNIVERSAL,31
32 30,,6,Suarez,Céleste,LABEL ET LABET,PIAS,30
33 RE,,2,Justin Bieber,Anyone,DEF JAM,UNIVERSAL,33
34 34,,6,Dadju feat. Tiakola,Dieu merci,POLYDOR,UNIVERSAL,34
35 40,,2,Ashnikko feat. Kelis,Deal With It,PARLOPHONE,WARNER,35
36 35,,23 BTS,,Dynamite,BIGHIT,SONY,3
37 33,,2,JC Stewart,Break My Heart,WARNER,WARNER,33
38 39,,3,Delta [BE],Nirvana,BMG RIGHTS,UNIVERSAL,38
39 18,,14 HVME,,Goosebumps,B1,SONY,18
40 48,,2,Kid Noize feat. Gio Kemper,Monster Next Door,UNIVERSAL,UNIVERSAL,40
41 NEW 1,,,Ofenbach feat. Lagique,Wasted Love,ELEKTRA,WARNER,41
42 43,,5,Julie Zenatti,Paisiblement fou,VICTOR'S SONG,VICTOR'S SONG,38
43 24,,23 Vianney,,Beau-papa,TOT OU TARD,PIAS,2
44 45,,2,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,44
45 47,,2,CJ,Whoopty,CJ,WARNER,45
46 44,,25 Joel Corry feat. MNEK,,Head & Heart,ASYLUM,WARNER,3
47 RE,,31 Grand Corps Malade & Camille Lellouche,,Mais je t'aime,VIRGIN,UNIVERSAL,12
48 41,,40 The Weeknd,,Blinding Lights,REPUBLIC,UNIVERSAL,1
49 46,,29 Amel Bent x Imen Es,,Jusqu'au bout,DEF JAM,UNIVERSAL,6
50 NEW 1,,,Antoine Delie,Dis-moi,BMG RIGHTS,WARNER/ADA,50
https://www.ultratop.be/weekchart_print.asp?lang=fr&cat=s&date=20210306,,,,,,,1/1
