3/12/2021 Ultratop - Singles - 19/12/2020,,,,,,,
Belgique francophone - Le seul classement officiel,,,,,,,
Singles,,,19/12/2020,,,,
# -1,,S,Artiste,Titre,Label,Distributeur MP,
1,1,7,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
2,2,13 David Guetta & Sia,,Let's Love,PARLOPHONE,WARNER,2
3,5,12 Vianney,,Beau-papa,TOT OU TARD,PIAS,3
4,3,15 24kGoldn feat. Iann Dior,,Mood,COLUMBIA,SONY,2
5,4,12 Ava Max,,Who's Laughing Now?,ATLANTIC,WARNER,4
6,13,12 BTS,,Dynamite,BIGHIT,SONY,6
7,8,12 Jason Derulo,,Take You Dancing,ATLANTIC,WARNER,7
8,10,15 Lucky Luke,,Cooler Than Me,B1,SONY,8
9,11,11 Clean Bandit and Mabel feat. 24kGoldn,,Tick Tock,ATLANTIC,WARNER,8
10 18,,6,Tiësto,The Business,ATLANTIC,WARNER,10
11 12,,6,Julien Doré,Nous,COLUMBIA,SONY,11
12 9,,13 Miley Cyrus,,Midnight Sky,RCA,SONY,6
13 7,,8,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,7
14 17,,12 Kendji Girac feat. Gims,,Dernier métro,DEF JAM,UNIVERSAL,13
15 14,,9,Banners,Someone To You,ISLAND,UNIVERSAL,11
16 16,,9,Tate McRae,You Broke Me First,RCA,SONY,16
17 15,,9,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,15
18 23,,5,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,18
19 19,,17 Joel Corry feat. MNEK,,Head & Heart,ASYLUM,WARNER,3
20 20,,5,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,20
21 28,,3,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,21
22 33,,13 Naza feat. Niska,,Joli bébé,CAPIROLESQUE,CAPIROLESQUE,17
23 NEW 1,,,Lil Nas X,Holiday,COLUMBIA,SONY,23
24 22,,"18 Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda -
Houari",,Bande organisée,RIEN 100 RIEN,PIAS,2
25 6,,20 Amel Bent x Imen Es,,Jusqu'au bout,DEF JAM,UNIVERSAL,6
26 24,,9,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,24
27 34,,4,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',WARNER,27
28 31,,5,Mika & Soprano,Le cœur Holiday,REPUBLIC,UNIVERSAL,28
29 39,,2,Kygo x Donna Summer,Hot Stuff,RCA,SONY,29
30 26,,23 Master KG feat. Burna Boy & Nomcebo Zikode,,Jerusalema (Remix),ELEKTRA,WARNER,1
31 27,,25 Zoe Wees,,Control,CAROLINE,UNIVERSAL,3
32 29,,10 Internet Money & Gunna feat. Don Toliver & Nav,,Lemonade,CAROLINE,UNIVERSAL,29
33 NEW 1,,,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,33
34 25,,11 Justin Bieber feat. Chance The Rapper,,Holy,DEF JAM,UNIVERSAL,18
35 46,,4,Maluma & The Weeknd,Hawái (Remix),SONY LATIN,SONY,35
36 41,,26 Grand Corps Malade & Camille Lellouche,,Mais je t'aime,CAROLINE,UNIVERSAL,12
37 40,,3,HVME,Goosebumps,B1,SONY,37
38 NEW 1,,,Jul & Sch,Mother Fuck,D'OR ET DEPLATINE,PIAS,38
39 RE,,5,Black Eyed Peas x Nicky Jam x Tyga,Vida loca,EPIC,SONY,35
40 35,,34 The Weeknd,,Blinding Lights,REPUBLIC,UNIVERSAL,1
41 30,,6,Alliel,Ce qui nous rend fous,PARLOPHONE,WARNER,30
42 37,,4,Aya Nakamura feat. Stormzy,Plus jamais,REC. 118,WARNER,36
43 43,,5,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees &Toes,SPINNIN',WARNER,43
44 32,,2,Eva [FR],Cœur noir,ALDAM,UNIVERSAL,32
45 47,,2,M. Pokora,S'en aller,TF1,SONY,45
46 38,,7,Dadju,Amour toxic,POLYDOR,UNIVERSAL,30
47 44,,2,Amir [FR],On verra bien,PARLOPHONE,WARNER,44
48 NEW 1,,,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,48
49 NEW 1,,,Louane,Désolée,MERCURY,UNIVERSAL,49
50 48,,7,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,37
https://www.ultratop.be/weekchart_print.asp?lang=fr&cat=s&date=20201219,,,,,,,1/1
