3/12/2021 Ultratop - Singles - 28/11/2020,,,,,,,
Belgique francophone - Le seul classement officiel,,,,,,,
Singles,,,28/11/2020,,,,
# -1,,S,Artiste,Titre,Label,Distributeur,MP
1,1,4,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
2,2,12 24kGoldn feat. Iann Dior,,Mood,COLUMBIA,SONY,2
3,3,10 David Guetta & Sia,,Let's Love,PARLOPHONE,WARNER,3
4,4,9,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,4
5,9,9,Vianney,Beau-papa,TOT OU TARD,PIAS,5
6,5,14 Joel Corry feat. MNEK,,Head & Heart,ASYLUM,WARNER,3
7,7,17 Amel Bent x Imen Es,,Jusqu'au bout,DEF JAM,UNIVERSAL,6
8,12,9,BTS,Dynamite,BIGHIT,SONY,8
9,13,9,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,9
10 11,,5,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,10
11 23,,6,Banners,Someone To You,ISLAND,UNIVERSAL,11
12 8,,12 Lucky Luke,,Cooler Than Me,B1,SONY,8
13 10,,10 Miley Cyrus,,Midnight Sky,RCA,SONY,10
14 6,,20 Master KG feat. Burna Boy & Nomcebo Zikode,,Jerusalema (Remix),ELEKTRA,WARNER,1
15 14,,8,Clean Bandit and Mabel feat. 24kGoldn,Tick Tock,ATLANTIC,WARNER,14
16 22,,11 Kygo x Tina Turner,,What's Love Got To DoWith It,SONY,SONY,6
17 21,,6,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,17
18 20,,8,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,18
19 15,,"15 Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda
- Houari",,Bande organisée,RIEN 100 RIEN,PIAS,2
20 29,,3,Julien Doré,Nous,COLUMBIA,SONY,20
21 19,,6,Tate McRae,You Broke Me First,RCA,SONY,19
22 18,,10 Naza feat. Niska,,Joli bébé,CAPIROLESQUE,CAPIROLESQUE,17
23 NEW 1,,,Zola feat. Sch,9 1 1 3,AWA,SONY,23
24 16,,22 Zoe Wees,,Control,CAROLINE,UNIVERSAL,3
25 17,,9,Kendji Girac feat. Gims,Dernier métro,DEF JAM,UNIVERSAL,13
26 41,,2,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,26
27 28,,6,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,27
28 24,,7,Vitaa & Slimane,Ça ira,DEF JAM,UNIVERSAL,20
29 30,,7,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,29
30 34,,4,Dadju,Amour toxic,POLYDOR,UNIVERSAL,30
31 44,,3,Alliel,Ce qui nous rend fous,PARLOPHONE,WARNER,31
32 43,,3,Tiësto,The Business,ATLANTIC,WARNER,32
33 RE,,2,Mika & Soprano,Le cœur Holiday,REPUBLIC,UNIVERSAL,33
34 26,,7,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,26
35 32,,15 Calogero,,La rumeur,POLYDOR,UNIVERSAL,18
36 NEW 1,,,Aya Nakamura feat. Stormzy,Plus jamais,REC. 118,WARNER,36
37 37,,2,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,37
38 31,,5,Koba LaD feat. Maes & Zed,Coffre plein,CAPITOL,UNIVERSAL,7
39 39,,4,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,37
40 33,,18 Louane,,Donne-moi ton cœur,MERCURY,UNIVERSAL,8
41 35,,23 Grand Corps Malade & Camille Lellouche,,Mais je t'aime,CAROLINE,UNIVERSAL,12
42 NEW 1,,,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',WARNER,42
43 48,,3,Black Eyed Peas x Nicky Jam x Tyga,Vida loca,EPIC,SONY,43
44 49,,4,Lucenzo,No me ama,PLAY TWO,WARNER,37
45 47,,15 Franglish feat. Tory Lanez,,My Salsa,DEF JAM,UNIVERSAL,35
46 36,,18 Aya Nakamura,,Jolie nana,REC. 118,WARNER,2
47 NEW 1,,,Maluma & The Weeknd,Hawái (Remix),SONY LATIN,SONY,47
48 RE,,2,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees &Toes,SPINNIN',WARNER,47
49 NEW 1,,,Dadju feat. Tiakola,Dieu merci,POLYDOR,UNIVERSAL,49
50 46,,5,Pop Smoke,What You Know BoutLove,REPUBLIC,TOPNOTCH/UNIVERSAL,38
https://www.ultratop.be/weekchart_print.asp?lang=fr&cat=s&date=20201128,,,,,,,1/1
