#,-1,S,Artiste,Titre,Label,Distributeur,MP,fileDate
1,1,9,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,02_01_2021
2,3,15,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,2,02_01_2021
3,2,17,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,02_01_2021
4,4,14,Vianney,Beau-papa,TOT OU TARD,PIAS,3,02_01_2021
5,6,14,BTS,Dynamite,BIGHIT,SONY,5,02_01_2021
6,7,14,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,6,02_01_2021
7,10,10,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,7,02_01_2021
8,5,14,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,4,02_01_2021
9,15,11,Tate McRae,You Broke Me First,RCA,SONY,9,02_01_2021
10,8,13,Clean Bandit and Mabel feat. 24kGoldn,Tick Tock,ATLANTIC,WARNER,8,02_01_2021
11,9,17,Lucky Luke,Cooler Than Me,B1,SONY,8,02_01_2021
12,11,8,Julien Doré,Nous,COLUMBIA,SONY,11,02_01_2021
13,12,8,Tiësto,The Business,ATLANTIC,WARNER,10,02_01_2021
14,13,11,Banners,Someone To You,ISLAND,UNIVERSAL,11,02_01_2021
15,16,15,Miley Cyrus,Midnight Sky,RCA,SONY,6,02_01_2021
16,17,14,Kendji Girac feat. Gims,Dernier métro,DEF JAM,UNIVERSAL,13,02_01_2021
17,28,3,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,17,02_01_2021
18,14,36,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,02_01_2021
19,26,25,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,02_01_2021
20,22,3,Lil Nas X,Holiday,COLUMBIA,SONY,20,02_01_2021
21,30,4,Kygo x Donna Summer,Hot Stuff,RCA,SONY,21,02_01_2021
22,24,7,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,18,02_01_2021
23,21,19,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,3,02_01_2021
24,36,3,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,24,02_01_2021
25,18,11,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,18,02_01_2021
26,29,5,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,21,02_01_2021
27,20,7,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,20,02_01_2021
28,23,22,Amel Bent x Imen Es,Jusqu'au bout,DEF JAM,UNIVERSAL,6,02_01_2021
29,31,6,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',WARNER,27,02_01_2021
30,NEW,1,Ed Sheeran,Afterglow,ATLANTIC,WARNER,30,02_01_2021
31,19,11,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,15,02_01_2021
32,RE,3,Amir [FR],On verra bien,PARLOPHONE,WARNER,32,02_01_2021
33,27,6,Maluma & The Weeknd,Hawái (Remix),SONY LATIN,SONY,27,02_01_2021
34,48,2,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,34,02_01_2021
35,35,5,HVME,Goosebumps,B1,SONY,35,02_01_2021
36,37,12,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,29,02_01_2021
37,33,20,Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda -Houari,Bande organisée,RIEN 100 RIEN,PIAS,2,02_01_2021
38,32,3,Jul & Sch,Mother Fuck,D'OR ET DEPLATINE,PIAS,32,02_01_2021
39,25,15,Naza feat. Niska,Joli bébé,CAPIROLESQUE,CAPIROLESQUE,17,02_01_2021
40,44,7,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees &Toes,SPINNIN',WARNER,40,02_01_2021
41,43,28,Grand Corps Malade & Camille Lellouche,Mais je t'aime,CAROLINE,UNIVERSAL,12,02_01_2021
42,RE,6,Mika & Soprano,Le cœur Holiday,REPUBLIC,UNIVERSAL,28,02_01_2021
43,NEW,1,Calogero,Celui d'en bas,POLYDOR,UNIVERSAL,43,02_01_2021
44,39,27,Zoe Wees,Control,CAROLINE,UNIVERSAL,3,02_01_2021
45,34,13,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,18,02_01_2021
46,50,9,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,37,02_01_2021
47,47,9,Dadju,Amour toxic,POLYDOR,UNIVERSAL,30,02_01_2021
48,42,2,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,42,02_01_2021
49,38,2,Suarez feat. Maria Del Rio,Feliz Navidad,LABEL ET LABET,PIAS,38,02_01_2021
50,NEW,1,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,50,02_01_2021
1,1,5,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,05_12_2020
2,2,13,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,05_12_2020
3,3,11,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,3,05_12_2020
4,5,10,Vianney,Beau-papa,TOT OU TARD,PIAS,4,05_12_2020
5,6,15,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,3,05_12_2020
6,13,11,Miley Cyrus,Midnight Sky,RCA,SONY,6,05_12_2020
7,4,10,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,4,05_12_2020
8,15,9,Clean Bandit and Mabel feat. 24kGoldn,Tick Tock,ATLANTIC,WARNER,8,05_12_2020
9,7,18,Amel Bent x Imen Es,Jusqu'au bout,DEF JAM,UNIVERSAL,6,05_12_2020
10,9,10,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,9,05_12_2020
11,10,6,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,10,05_12_2020
12,12,13,Lucky Luke,Cooler Than Me,B1,SONY,8,05_12_2020
13,14,21,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,05_12_2020
14,8,10,BTS,Dynamite,BIGHIT,SONY,8,05_12_2020
15,25,10,Kendji Girac feat. Gims,Dernier métro,DEF JAM,UNIVERSAL,13,05_12_2020
16,11,7,Banners,Someone To You,ISLAND,UNIVERSAL,11,05_12_2020
17,20,4,Julien Doré,Nous,COLUMBIA,SONY,17,05_12_2020
18,16,12,Kygo x Tina Turner,What's Love Got To DoWith It,SONY,SONY,6,05_12_2020
19,21,7,Tate McRae,You Broke Me First,RCA,SONY,19,05_12_2020
20,17,7,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,17,05_12_2020
21,24,23,Zoe Wees,Control,CAROLINE,UNIVERSAL,3,05_12_2020
22,19,16,Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda -Houari,Bande organisée,RIEN 100 RIEN,PIAS,2,05_12_2020
23,32,4,Tiësto,The Business,ATLANTIC,WARNER,23,05_12_2020
24,37,3,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,24,05_12_2020
25,27,7,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,25,05_12_2020
26,18,9,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,18,05_12_2020
27,NEW,1,Dinos feat. Nekfeu,Moins un,CAPITOL,UNIVERSAL,27,05_12_2020
