Titre,album,Artiste,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,5,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4
Venus,At Home,Shocking Blue,1969,187533,4,0.462,0.691,0.762,0.0286,0.0804,-6.47,0.0367,128.111,4
Streets Favorite,Queensbridge Project,Various Artists,2008-05-27,166946,2,0.145,0.6990000000000001,0.655,0.0,0.303,-5.367000000000001,0.21899999999999997,88.027,4
Bésame - Remix,Bésame (Remix),El Reja,2020-12-18,189510,3,0.172,0.555,0.46299999999999997,0.0,0.32,-8.344,0.065,138.166,3
Mood (feat. iann dior),Mood (feat. iann dior),24kGoldn,2020-07-24,140525,5,0.221,0.7,0.722,0.0,0.272,-3.5580000000000003,0.0369,90.98899999999999,4
Io sì (Seen) [From The Life Ahead (La vita davanti a sé)],Io sì (Seen) [From “The Life Ahead (La vita davanti a sé)”],Laura Pausini,2021-02-01,234450,3,0.49,0.251,0.19899999999999998,0.0,0.179,-12.300999999999998,0.0333,178.218,4
Chica Ideal,Juerga en Casa: Reggaeton,Various Artists,2021-01-22,183240,1,0.0847,0.574,0.8909999999999999,0.0,0.16,-3.665,0.157,100.978,4
Vida de Rico,Vida de Rico,Camilo,2020-09-21,187426,5,0.16699999999999998,0.8240000000000001,0.457,0.0,0.040999999999999995,-5.428,0.0543,87.977,4
Let's Love - David Guetta & MORTEN Future Rave Remix,Let's Love (David Guetta & MORTEN Future Rave Remix),David Guetta,2020-10-23,222850,3,0.0582,0.525,0.797,0.748,0.179,-6.939,0.122,125.87799999999999,4
La Tóxica,La Tóxica,Farruko,2020-07-24,180520,5,0.0882,0.659,0.701,0.0,0.0866,-4.107,0.16399999999999998,91.97,4
Jerusalema (feat. Nomcebo Zikode),Jerusalema,Master KG,2020-01-24,342612,5,0.0185,0.88,0.483,8.68e-06,0.0607,-7.0120000000000005,0.0505,124.009,4
Roses - Imanbek Remix,While The World Was Burning,SAINt JHN,2020-11-20,176867,5,0.0143,0.769,0.7190000000000001,0.00777,0.359,-5.472,0.0474,121.955,4
Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,174000,5,0.122,0.5479999999999999,0.816,0.0,0.335,-4.209,0.0465,95.39,4
Dynamite,BE,BTS,2020-11-20,199053,5,0.0112,0.746,0.765,0.0,0.0936,-4.41,0.0993,114.044,4
Золото - Rakurs & Ramirez Remix,Золото (Rakurs & Ramirez Remix),KARTASHOW,2019-06-18,191608,3,0.043,0.858,0.8959999999999999,0.00116,0.318,-2.991,0.11,124.006,4
Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,5,0.7509999999999999,0.501,0.405,0.0,0.105,-5.678999999999999,0.0319,109.891,4
Deep End,Deep End,Fousheé,2020-07-31,141223,5,0.758,0.711,0.5920000000000001,0.0,0.156,-7.136,0.23,124.749,4
Fever,Things Are Swingin',Peggy Lee,1959-05-04,199600,3,0.23,0.838,0.171,0.0,0.11,-12.614,0.0729,135.925,4
Dance Monkey,Dance Monkey (Stripped Back) / Dance Monkey,Tones And I,2019-10-17,209438,5,0.6920000000000001,0.8240000000000001,0.588,0.00010400000000000001,0.149,-6.4,0.0924,98.027,4
Tan Enamorados,Tan Enamorados,CNCO,2020-11-13,179031,5,0.166,0.6559999999999999,0.705,0.0,0.20199999999999999,-4.262,0.0908,172.003,4
Diamonds,Diamonds,Sam Smith,2020-09-17,213869,5,0.154,0.653,0.667,0.0,0.107,-6.763999999999999,0.0423,104.181,4
Hawái - Remix,Hawái (Remix),Maluma,2020-11-05,200481,5,0.105,0.7659999999999999,0.7879999999999999,5.81e-06,0.142,-3.128,0.312,179.984,4
BICHOTA,BICHOTA,KAROL G,2020-10-23,178946,5,0.212,0.863,0.6659999999999999,0.000493,0.10300000000000001,-4.158,0.152,163.908,4
Pump It (As Made Famous By Black Eyed Peas Instrumental Cover),Party Harty Vol.3,The Beat Mechanics,2012-04-28,217720,1,0.000628,0.736,0.8240000000000001,0.9420000000000001,0.325,-3.4010000000000002,0.145,153.609,4
Jeans,Jeans,Justin Quiles,2020-08-14,185840,5,0.0165,0.807,0.6559999999999999,0.0,0.0693,-4.395,0.105,83.943,4
Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,5,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4
Daisy,Daisy,Ashnikko,2020-07-09,146523,5,0.235,0.8340000000000001,0.6629999999999999,0.0,0.37200000000000005,-6.143,0.133,121.876,4
Breaking Me,NYE & CHILL,Various Artists,2020-12-18,166793,1,0.223,0.789,0.72,0.0,0.129,-5.652,0.217,122.031,4
Photo ID,I'm Allergic To Dogs!,Remi Wolf,2020-06-24,265263,4,0.111,0.8220000000000001,0.66,0.0,0.14300000000000002,-3.637,0.0819,113.956,4
Little Dark Age,Little Dark Age,MGMT,2018-02-09,299960,5,0.0102,0.705,0.7120000000000001,0.0008550000000000001,0.1,-6.156000000000001,0.0385,97.512,4
Sweater Weather,I Love You.,The Neighbourhood,2013-04-19,240400,5,0.0495,0.612,0.807,0.0177,0.10099999999999999,-2.81,0.0336,124.053,4
Se Te Nota,Juerga en Casa: Reggaeton,Various Artists,2021-01-22,155825,1,0.0907,0.905,0.6859999999999999,0.0,0.266,-3.1519999999999997,0.0664,103.01299999999999,4
"Ay, DiOs Mío!","Ay, DiOs Mío!",KAROL G,2020-07-10,189653,5,0.512,0.718,0.7120000000000001,0.00121,0.10400000000000001,-4.3660000000000005,0.174,180.03400000000002,4
Say So,Hot Pink,Doja Cat,2019-11-07,237893,5,0.256,0.787,0.6729999999999999,3.57e-06,0.0904,-4.577,0.158,110.962,4
