#,Artiste,Titre,fileDate,freq,True_Target
1,Dua Lipa feat. Angèle ,Fever,20-11-14,17,True
2,24kGoldn feat. Iann Dior ,Mood,20-11-14,17,True
3,Joel Corry feat. MNEK ,Head & Heart,20-11-14,14,True
4,Master KG feat. Burna Boy & Nomcebo Zikode ,Jerusalema (Remix),20-11-14,13,True
5,David Guetta & Sia ,Let's Love,20-11-14,17,True
6,Amel Bent x Imen Es ,Jusqu'au bout,20-11-14,15,True
7,Vianney ,Beau-papa,20-11-14,17,True
8,Zoe Wees ,Control,20-11-14,9,True
9,Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda - Houari ,Bande organisée,20-11-14,12,True
10,Lucky Luke ,Cooler Than Me,20-11-14,12,True
11,Ava Max ,Who's Laughing Now?,20-11-14,13,True
12,Miley Cyrus ,Midnight Sky,20-11-14,14,True
13,BTS ,Dynamite,20-11-14,17,True
14,Ariana Grande ,Positions,20-11-14,17,True
15,Kygo x Tina Turner ,What's Love Got To Do With It,20-11-14,5,True
16,Booba ,5G,20-11-14,2,False
17,Jason Derulo ,Take You Dancing,20-11-14,16,True
18,Justin Bieber feat. Chance The Rapper ,Holy,20-11-14,8,True
19,Kendji Girac feat. Gims ,Dernier métro,20-11-14,13,True
20,Vitaa & Slimane ,Ça ira,20-11-14,4,True
21,Clean Bandit and Mabel feat. 24kGoldn ,Tick Tock,20-11-14,15,True
22,Naza feat. Niska ,Joli bébé,20-11-14,10,True
23,Calogero ,La rumeur,20-11-14,3,True
24,Shawn Mendes ,Wonder,20-11-14,11,True
25,Tate McRae ,You Broke Me First,20-11-14,17,True
26,JC Stewart ,I Need You To Hate Me,20-11-14,2,False
27,Lost Frequencies & Mathieu Koss ,Don't Leave Me Now,20-11-14,10,True
28,Koba LaD feat. Maes & Zed ,Coffre plein,20-11-14,4,True
29,Banners ,Someone To You,20-11-14,16,True
30,Louane ,Donne-moi ton cœur,20-11-14,3,True
31,Internet Money & Gunna feat. Don Toliver & Nav ,Lemonade,20-11-14,10,True
32,Sam Smith ,Diamonds,20-11-14,11,True
33,Grand Corps Malade & Camille Lellouche ,Mais je t'aime,20-11-14,11,True
34,Calvin Harris / The Weeknd ,Over Now,20-11-14,2,False
35,Dua Lipa feat. DaBaby ,Levitating,20-11-14,4,True
36,Harry Styles ,Watermelon Sugar,20-11-14,2,False
37,Justin Bieber & Benny Blanco ,Lonely,20-11-14,13,True
38,Pop Smoke ,What You Know Bout Love,20-11-14,3,True
39,Franglish feat. Tory Lanez ,My Salsa,20-11-14,3,True
40,Alliel ,Ce qui nous rend fous,20-11-14,7,True
41,Jawsh 685 & Jason Derulo ,Savage Love (Laxed - Siren Beat),20-11-14,1,False
42,Julien Doré ,La fièvre,20-11-14,1,False
43,DaBaby feat. Roddy Ricch ,Rockstar,20-11-14,1,False
44,Amir [FR] ,La fête,20-11-14,1,False
45,Dadju ,Amour toxic,20-11-14,8,True
46,Mika & Soprano ,Le cœur Holiday,20-11-14,8,True
47,Julien Doré ,Nous,20-11-14,17,True
48,Dua Lipa ,Break My Heart,20-11-14,3,True
49,Suarez feat. Maria Del Rio ,Sarà perché ti amo,20-11-14,1,False
50,Tiësto ,The Business,20-11-14,17,True
36,Aya Nakamura ,Jolie nana,20-11-21,2,False
37,Kylie Minogue ,Magic,20-11-21,12,True
40,Aya Nakamura ,Doudou,20-11-21,1,False
41,Billie Eilish ,Therefore I Am,20-11-21,14,True
45,Robin Schulz & Wes ,Alane,20-11-21,1,False
48,Black Eyed Peas x Nicky Jam x Tyga ,Vida loca,20-11-21,6,True
49,Lucenzo ,No me ama,20-11-21,3,True
23,Zola feat. Sch ,9 1 1 3,20-11-28,2,False
36,Aya Nakamura feat. Stormzy ,Plus jamais,20-11-28,6,True
42,Henri PFR x Famba feat. Chiara Castelli ,No One Knows,20-11-28,13,True
47,Maluma & The Weeknd ,Hawái (Remix),20-11-28,10,True
48,Ofenbach & Quarterhead feat. Norma Jean Martine ,Head Shoulders Knees & Toes,20-11-28,9,True
49,Dadju feat. Tiakola ,Dieu merci,20-11-28,6,True
27,Dinos feat. Nekfeu ,Moins un,20-12-05,2,False
38,Twocolors ,Lovefool,20-12-05,2,False
43,Vald ,Gotaga,20-12-05,1,False
47,Maître Gims ,Jusqu'ici tout va bien,20-12-05,14,True
48,HVME ,Goosebumps,20-12-05,14,True
32,Eva [FR] ,Cœur noir,20-12-12,6,True
35,The Weeknd ,Blinding Lights,20-12-12,8,True
39,Kygo x Donna Summer ,Hot Stuff,20-12-12,13,True
44,Amir [FR] ,On verra bien,20-12-12,9,True
47,M. Pokora ,S'en aller,20-12-12,4,True
