#,Artiste,Titre,fileDate,freq,True_Target,CleanedTitle,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1,Dua Lipa feat. Angèle ,Fever,20-11-14,17,True,Fever,3wJVBz7gvGTwTWVAxFa6ny,81,0.868,0.693,6,-7.052,0,0.181,0.0597,0.00399,0.106,0.396,114.999,156911
2,24kGoldn feat. Iann Dior ,Mood,20-11-14,17,True,Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,95,0.7,0.722,7,-3.558,0,0.0369,0.221,0,0.272,0.756,90.989,140526
3,Joel Corry feat. MNEK ,Head & Heart,20-11-14,14,True,Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,90,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028
4,Master KG feat. Burna Boy & Nomcebo Zikode ,Jerusalema (Remix),20-11-14,13,True,Jerusalema (feat. Burna Boy & Nomcebo Zikode) - Remix,1dmES1X8l1AnFBy2gR3wYA,61,0.837,0.449,1,-7.019,1,0.0554,0.0301,5.37e-05,0.0604,0.825,124.021,328000
5,David Guetta & Sia ,Let's Love,20-11-14,17,True,Let's Love - David Guetta & MORTEN Future Rave Remix,7HXMzmHisLPilu3phwi73h,55,0.525,0.797,2,-6.939,0,0.122,0.0582,0.748,0.179,0.0855,125.878,222850
6,Amel Bent x Imen Es ,Jusqu'au bout,20-11-14,15,True,Jusqu'au bout,2kUXqI4t2eLYqCh7Z8guP1,66,0.701,0.696,10,-5.795,0,0.0953,0.192,1.35e-06,0.0942,0.68,117.977,176043
7,Vianney ,Beau-papa,20-11-14,17,True,beau-papa,5wXkbtZO1HsOQ1P75zi35p,64,0.746,0.506,10,-6.016,0,0.0367,0.364,0,0.123,0.486,122.044,197562
8,Zoe Wees ,Control,20-11-14,9,True,Control,50Td3qilgs8BLtv8mHyT1t,79,0.599,0.465,4,-4.95,1,0.0314,0.643,1.57e-06,0.149,0.0678,113.82,230880
9,Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda - Houari ,Bande organisée,20-11-14,12,True,Bande organisée,205HNJ73cgpC0LAOnuQiWT,74,0.901,0.939,6,-2.762,1,0.274,0.117,0,0.0643,0.805,142.948,356347
10,Lucky Luke ,Cooler Than Me,20-11-14,12,True,Cooler Than Me,525GY0mXYnxajolwgS8Eaz,78,0.889,0.716,7,-6.146,1,0.0708,0.0595,0.0409,0.168,0.296,128.022,179760
11,Ava Max ,Who's Laughing Now?,20-11-14,13,True,Who's Laughing Now,1Pmp486RrLRkaEkE3HFHXP,79,0.648,0.641,7,-5.521,1,0.0389,0.00565,3.63e-06,0.109,0.505,184.021,180348
12,Miley Cyrus ,Midnight Sky,20-11-14,14,True,Midnight Sky,27ycaQnQAxaPiyeg3nr2aB,82,0.705,0.814,4,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110.0,223279
13,BTS ,Dynamite,20-11-14,17,True,Dynamite,4saklk6nie3yiGePpBwUoc,91,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,199054
14,Ariana Grande ,Positions,20-11-14,17,True,positions,35mvY5S1H3J2QZyna3TFe0,93,0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,172325
15,Kygo x Tina Turner ,What's Love Got To Do With It,20-11-14,5,True,What's Love Got to Do with It,3Be7CLdHZpyzsVijme39cW,77,0.75,0.664,8,-5.908,0,0.154,0.275,0,0.0632,0.617,105.023,208156
16,Booba ,5G,20-11-14,2,False,5G,5HHdKznp8Dqp7nNNd5gEW0,69,0.899,0.581,6,-6.652,0,0.384,0.182,0,0.0666,0.548,126.948,187784
17,Jason Derulo ,Take You Dancing,20-11-14,16,True,Take You Dancing,59qrUpoplZxbIZxk6X0Bm3,87,0.789,0.711,2,-4.248,1,0.041,0.0332,0,0.0876,0.753,112.985,190306
18,Justin Bieber feat. Chance The Rapper ,Holy,20-11-14,8,True,Holy (feat. Chance The Rapper),5u1n1kITHCxxp8twBcZxWy,88,0.673,0.704,6,-8.056,1,0.36,0.196,0,0.0898,0.372,86.919,212093
19,Kendji Girac feat. Gims ,Dernier métro,20-11-14,13,True,Dernier métro,3RkKeT2ALw3OBUhFllxxjF,65,0.516,0.733,6,-4.571,0,0.123,0.533,0,0.104,0.533,175.855,223013
20,Vitaa & Slimane ,Ça ira,20-11-14,4,True,Ça ira,3iaKLS1KOfrAzTLPdXJgHI,24,0.645,0.592,6,-5.339,0,0.0394,0.418,0,0.117,0.558,115.996,194007
21,Clean Bandit and Mabel feat. 24kGoldn ,Tick Tock,20-11-14,15,True,Tick Tock (feat. 24kGoldn),4XOGTPOhxKdoJYFePkfKAa,26,0.779,0.705,0,-3.895,1,0.0344,0.369,7.91e-06,0.124,0.946,101.022,178374
22,Naza feat. Niska ,Joli bébé,20-11-14,10,True,Joli bébé,6ARJHbYGKNatxHVghTkWWp,71,0.694,0.632,1,-7.203,0,0.128,0.576,1.21e-06,0.104,0.243,155.01,178312
23,Calogero ,La rumeur,20-11-14,3,True,La rumeur,0KKIdDRSfwZVDIJUnx9jL5,47,0.621,0.762,7,-6.141,0,0.0415,0.0145,0.00585,0.587,0.716,93.982,223347
24,Shawn Mendes ,Wonder,20-11-14,11,True,Wonder,5KCbr5ndeby4y4ggthdiAb,83,0.333,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,172693
25,Tate McRae ,You Broke Me First,20-11-14,17,True,you broke me first,45bE4HXI0AwGZXfZtMp8JR,92,0.667,0.373,4,-9.389,1,0.05,0.785,0,0.0906,0.0823,124.148,169266
26,JC Stewart ,I Need You To Hate Me,20-11-14,2,False,I Need You To Hate Me,1zY6ekSJ8VI6tZ6nBqoo7g,73,0.637,0.589,9,-5.618,0,0.0352,0.0298,0,0.11,0.376,148.925,157447
27,Lost Frequencies & Mathieu Koss ,Don't Leave Me Now,20-11-14,10,True,Don't Leave Me Now,59VDjcpB2I8psQasslQpdK,69,0.671,0.752,6,-6.806,0,0.0304,0.0258,0,0.112,0.717,124.998,195080
28,Koba LaD feat. Maes & Zed ,Coffre plein,20-11-14,4,True,Coffre plein,70pkwEEG7nDTXBFqoGQkH0,71,0.758,0.56,6,-6.69,0,0.0639,0.093,0,0.104,0.606,149.893,220666
29,Banners ,Someone To You,20-11-14,16,True,Someone To You,14BH4qO7pgCmIe6mgLKOK3,78,0.468,0.936,2,-3.683,1,0.0455,0.00568,0,0.24,0.663,75.05,219800
30,Louane ,Donne-moi ton cœur,20-11-14,3,True,Donne-moi ton cœur,5amRIQxQgERN9wI1oMuRgw,55,0.705,0.712,8,-7.087,0,0.145,0.596,0.00466,0.106,0.264,94.995,189933
31,Internet Money & Gunna feat. Don Toliver & Nav ,Lemonade,20-11-14,10,True,Lemonade,02kDW379Yfd5PzW5A6vuGt,88,0.799,0.66,1,-6.153,0,0.079,0.256,0,0.111,0.471,140.04,195429
32,Sam Smith ,Diamonds,20-11-14,11,True,Diamonds,5hvwx5i67IwnCkjl9VHkNv,81,0.653,0.667,10,-6.764,0,0.0423,0.154,0,0.107,0.556,104.181,213869
33,Grand Corps Malade & Camille Lellouche ,Mais je t'aime,20-11-14,11,True,Mais je t'aime,2twcZTB1udOEzDCPpTiOju,66,0.476,0.412,9,-10.529,0,0.131,0.796,9.04e-06,0.112,0.209,179.783,270000
34,Calvin Harris / The Weeknd ,Over Now,20-11-14,2,False,Over Now (with The Weeknd),58AGoOGbwsQMhBbH0eFLRR,76,0.612,0.884,4,-4.113,0,0.0454,0.0759,0.00132,0.247,0.679,178.043,210795
35,Dua Lipa feat. DaBaby ,Levitating,20-11-14,4,True,Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,89,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,203064
36,Harry Styles ,Watermelon Sugar,20-11-14,2,False,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,90,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000
37,Justin Bieber & Benny Blanco ,Lonely,20-11-14,13,True,Lonely (with benny blanco) - Acoustic,4fKiuIavbsoTRZ6R7xuAyT,63,0.365,0.117,11,-10.61,0,0.041,0.969,2.48e-06,0.684,0.119,168.744,155188
38,Pop Smoke ,What You Know Bout Love,20-11-14,3,True,What You Know Bout Love,1tkg4EHVoqnhR6iFEXb60y,91,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000
39,Franglish feat. Tory Lanez ,My Salsa,20-11-14,3,True,My Salsa,7IJIj326qJJA6oi6EpFCBD,70,0.841,0.574,4,-6.183,0,0.0834,0.276,0,0.0752,0.548,98.999,209816
40,Alliel ,Ce qui nous rend fous,20-11-14,7,True,Ce qui nous rend fous,4j4xw9WNy4u3AHWzKEHOUp,48,0.76,0.589,2,-5.836,0,0.0836,0.485,0,0.341,0.742,103.02,172270
41,Jawsh 685 & Jason Derulo ,Savage Love (Laxed - Siren Beat),20-11-14,1,False,Savage Love (Laxed - Siren Beat) [Originally performed by Jawsh 685 and Jason Derulo] [Instrumental],3DJbytRtLbAPZKp2bcD7vk,17,0.851,0.273,0,-16.122,0,0.062,0.0836,0.891,0.0608,0.408,148.027,169183
42,Julien Doré ,La fièvre,20-11-14,1,False,La fièvre,79jeTvkW3gvUdldDkQpYOf,62,0.804,0.649,2,-7.926,0,0.0669,0.599,0.0105,0.0982,0.412,89.98,241547
43,DaBaby feat. Roddy Ricch ,Rockstar,20-11-14,1,False,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,90,0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,181733
44,Amir [FR] ,La fête,20-11-14,1,False,La fête,7y9gbZ9CUnYkpBK4q0qnjB,58,0.758,0.582,10,-6.233,0,0.111,0.215,0,0.129,0.824,98.096,192857
45,Dadju ,Amour toxic,20-11-14,8,True,Amour toxic,70APCdHsWV5BEsacwjzXmd,68,0.718,0.416,5,-8.758,1,0.0675,0.796,1.85e-06,0.0992,0.642,132.074,218481
46,Mika & Soprano ,Le cœur Holiday,20-11-14,8,True,Le Coeur Holiday (with Soprano),75zEAmY1gzzEl2TL3REWTf,47,0.755,0.743,2,-6.015,1,0.136,0.0665,0,0.174,0.331,105.984,210181
47,Julien Doré ,Nous,20-11-14,17,True,Nous,1kYjNPTvZ8G68dYTkG3BqD,67,0.811,0.567,9,-9.366,1,0.0601,0.504,0.518,0.099,0.629,111.028,199547
48,Dua Lipa ,Break My Heart,20-11-14,3,True,Break My Heart,017PF4Q3l4DBUiWoXk4OWT,83,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,221820
49,Suarez feat. Maria Del Rio ,Sarà perché ti amo,20-11-14,1,False,Sara' Perche Ti Amo,08sbpioHxwU7zyyMvmC8A9,41,0.828,0.677,4,-9.197,1,0.0294,0.0859,0,0.198,0.961,120.273,195133
50,Tiësto ,The Business,20-11-14,17,True,The Business,6f3Slt0GbA2bPZlz0aIFXN,94,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,164000
36,Aya Nakamura ,Jolie nana,20-11-21,2,False,Jolie nana,65RWVU6N81CeH65nu52K1U,72,0.813,0.64,2,-5.908,1,0.272,0.269,0,0.131,0.488,92.989,147076
37,Kylie Minogue ,Magic,20-11-21,12,True,Magic,0I4658wYMK45Ffx1IlKRjG,65,0.732,0.782,0,-4.844,1,0.03,0.0268,9.94e-06,0.106,0.655,106.048,250680
40,Aya Nakamura ,Doudou,20-11-21,1,False,Doudou,1Z8zI3ue4kg77xusnNOQO4,0,0.773,0.609,4,-5.855,0,0.244,0.136,0,0.0729,0.697,98.071,168719
